word,valence,arousal,dominance,n_collapsed
annul,3.83,4.23,4.9,1
annulment,4.05,4.14,4.15,1
anointed,4.79,3.32,5.18,1
anomaly,4.84,4.25,4.26,1
anonymity,4.81,3.29,5.88,1
anonymous,5.75,4.13,5.48,1
anorexic,2.71,4.24,3.43,1
answer,6.1,4.0,5.95,1
ant,3.9,3.27,5.3,1
antagonistic,4.32,4.11,4.41,1
antagonize,3.15,4.95,4.0,1
antelope,5.68,4.46,5.57,1
antenna,5.43,3.15,5.67,1
anterior,4.89,3.36,4.64,1
anthem,5.95,4.48,6.29,1
anthill,4.32,4.63,4.76,1
anthrax,2.32,4.72,2.71,1
anthropological,5.53,3.82,5.14,1
anthropologist,5.7,3.27,5.19,1
anthropology,5.3,2.91,6.0,1
anti,4.47,4.23,5.05,1
antiaircraft,4.85,4.6,4.73,1
antibiotic,5.465,4.05,5.415,1
antichrist,2.36,5.58,4.39,1
anticipate,6.0,5.7,5.36,1
anticipation,5.26,5.39,5.53,1
antics,3.95,5.1,5.24,1
antidote,6.55,3.24,6.08,1
antigravity,5.74,5.1,3.77,1
antiquated,5.0,4.95,4.69,1
antique,6.565,3.84,5.48,1
antiseptic,4.57,3.15,4.77,1
antisocial,3.21,5.32,5.33,1
antsy,4.36,5.23,3.85,1
anus,2.9,4.39,4.96,1
anvil,5.05,4.4,5.38,1
anxiety,2.38,4.78,3.39,1
anxious,3.8,6.2,4.15,1
anytime,5.81,4.6,5.32,1
aorta,4.35,3.64,4.37,1
aortic,4.25,3.5,4.58,1
apache,5.2,3.7,4.95,1
apartment,5.359999999999999,3.54,5.255,1
apathy,3.68,3.8,5.15,1
ape,5.21,4.25,5.38,1
apex,5.52,3.48,5.17,1
aphrodisiac,6.43,5.96,5.04,1
apocalypse,3.24,5.04,2.65,1
apologetic,6.65,4.0,5.0,1
apologize,4.94,3.52,4.22,1
apology,6.24,4.0,5.1,1
apostle,5.5,4.38,4.71,1
apothecary,5.48,4.23,5.35,1
appalled,3.285,5.205,4.33,1
apparatus,5.5,4.0,5.14,1
apparel,5.38,4.3,6.19,1
apparent,4.96,3.19,6.4,1
apparition,4.85,4.82,4.38,1
appeal,6.3,3.57,5.36,1
appear,5.25,3.24,5.36,1
appearance,6.14,4.57,5.9,1
appease,5.95,3.55,5.59,1
appendage,4.23,4.35,5.32,1
appendectomy,2.95,6.14,3.59,1
appendicitis,1.86,5.12,2.71,1
appendix,4.81,2.92,4.25,1
appetite,6.23,5.37,5.57,1
appetizer,7.29,4.52,6.36,1
appetizing,7.0,4.82,6.18,1
applaud,6.7,5.05,5.91,1
applause,7.12,5.38,6.56,1
apple,6.62,3.52,6.44,1
apple juice,7.3,3.2,6.0,1
applejack,5.79,3.8,5.74,1
applesauce,6.9,2.78,6.39,1
appliance,5.15,2.84,5.0,1
